ingredient,dii_score,matched_nutrients,total_nutrients,match_percentage,general people inflammation,Sam inflammation,Andrea inflammation,10:0,12:0,14:0,16:0,16:1,18:0,18:1,18:2,18:3,18:4,20:1,20:4,20:5 n-3,22:1,22:5 n-3,22:6 n-3,4:0,6:0,8:0,Alcohol,Caffeine,Calcium,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,"Choline, total",Copper,"Cryptoxanthin, beta",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fiber, total dietary","Folate, DFE","Folate, food","Folate, total",Folic acid,Iron,Lutein + zeaxanthin,Lycopene,Magnesium,Niacin,Phosphorus,Potassium,Protein,Retinol,Riboflavin,Selenium,Sodium,"Sugars, total",Theobromine,Thiamin,Total Fat,"Vitamin A, RAE",Vitamin B-12,"Vitamin B-12, added",Vitamin B-6,Vitamin C,Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),"Vitamin E, added",Vitamin K (phylloquinone),Water,Zinc
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",-25.4505,26,65,40.0,-25.4505,-35.5488,-27.2697,0.002,0.002,0.008,0.021,0.001,0.009,0.018,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.001,0.0,0.0,132.0,4.92,0.0,2.0,3.0,18.2,0.002,0.0,34.0,0.017,0.006,0.049,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,0.118,107.0,167.0,3.43,64.0,0.131,2.0,41.0,5.05,0.0,0.056,0.08,64.0,0.58,0.0,0.058,0.0,1.1,0.0,0.0,0.0,90.8,0.45
"Buttermilk, low fat",-11.6406,26,65,40.0,-11.6406,,-12.283,0.022,0.028,0.089,0.258,0.02,0.085,0.221,0.022,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.017,0.01,0.0,0.0,120.0,4.81,0.0,0.0,5.0,17.7,0.001,0.0,43.0,0.199,0.033,0.552,0.0,5.0,5.0,5.0,0.0,0.01,0.0,0.0,11.0,0.128,92.0,158.0,3.46,36.0,0.196,2.0,92.0,5.36,0.0,0.048,1.08,36.0,0.22,0.0,0.039,1.0,0.5,0.05,0.0,0.1,89.79,0.43
"Milk, dry, whole, with added vitamin D",-39.2422,26,65,40.0,-39.2422,-51.1723,-41.4728,0.596,0.614,2.82,7.522,1.196,2.853,6.192,0.46,0.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.866,0.24,0.269,0.0,0.0,912.0,38.42,0.0,55.0,97.0,119.3,0.08,0.0,496.0,7.924,0.665,16.742,0.0,37.0,37.0,37.0,0.0,0.47,0.0,0.0,85.0,0.646,776.0,1330.0,26.32,253.0,1.205,16.3,371.0,38.42,0.0,0.283,26.71,258.0,3.25,0.0,0.302,8.6,10.5,0.58,0.0,2.2,2.47,3.34
"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",8.4696,26,65,40.0,8.4696,,,0.018,0.014,0.083,0.235,0.022,0.085,0.167,0.019,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.006,0.007,0.0,0.0,1257.0,51.98,0.0,1.0,20.0,169.2,0.041,0.0,362.0,0.201,0.03,0.499,0.0,50.0,50.0,50.0,0.0,0.32,0.0,0.0,110.0,0.951,968.0,1794.0,36.16,6.0,1.55,27.3,535.0,51.98,0.0,0.415,0.77,6.0,4.03,0.0,0.361,6.8,0.0,0.0,0.0,0.1,3.16,4.08
"Milk, buttermilk, dried",4.9187,26,65,40.0,4.9187,,4.8297,0.145,0.162,0.581,1.52,0.129,0.7,1.454,0.131,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187,0.111,0.065,0.0,0.0,1184.0,49.0,0.0,9.0,69.0,118.7,0.111,0.0,387.0,1.669,0.215,3.598,0.0,47.0,47.0,47.0,0.0,0.3,0.0,0.0,110.0,0.876,933.0,1592.0,34.3,48.0,1.579,20.3,517.0,49.0,0.0,0.392,5.78,49.0,3.82,0.0,0.338,5.7,0.5,0.1,0.0,0.4,2.97,4.02
"Milk, canned, condensed, sweetened",24.7659,26,65,40.0,24.7659,,,0.073,0.18,0.783,2.396,0.137,1.209,2.188,0.216,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282,0.167,0.097,0.0,0.0,284.0,54.4,0.0,14.0,34.0,89.1,0.015,0.0,321.0,2.427,0.337,5.486,0.0,11.0,11.0,11.0,0.0,0.19,0.0,0.0,26.0,0.21,253.0,371.0,7.91,73.0,0.416,14.8,127.0,54.4,0.0,0.09,8.7,74.0,0.44,0.0,0.051,2.6,0.2,0.16,0.0,0.6,27.16,0.94
"Milk, canned, evaporated, with added vitamin D and without added vitamin A",-7.905,26,65,40.0,-7.905,,-7.3482,0.11,0.161,0.733,2.027,0.159,0.921,2.101,0.167,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.134,0.054,0.0,0.0,261.0,10.04,0.0,12.0,29.0,31.8,0.016,0.0,134.0,2.335,0.245,4.591,0.0,8.0,8.0,8.0,0.0,0.19,0.0,0.0,24.0,0.194,203.0,303.0,6.81,64.0,0.316,2.3,106.0,10.04,0.0,0.047,7.56,65.0,0.16,0.0,0.05,1.9,2.0,0.14,0.0,0.5,74.04,0.77
"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",-46.7579,26,65,40.0,-46.7579,,-42.2257,0.003,0.004,0.019,0.054,0.004,0.024,0.056,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.004,0.001,0.0,0.0,290.0,11.35,0.0,0.0,4.0,25.2,0.016,0.0,78.0,0.062,0.006,0.121,0.0,9.0,9.0,9.0,0.0,0.29,0.0,0.0,27.0,0.174,195.0,332.0,7.55,118.0,0.309,2.5,115.0,11.35,0.0,0.045,0.2,118.0,0.24,0.0,0.055,1.2,2.0,0.0,0.0,0.0,79.4,0.9
"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",-0.079,26,65,40.0,-0.079,-0.1,-0.0775,0.078,0.088,0.315,0.889,0.071,0.466,0.872,0.078,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101,0.06,0.035,0.0,1.0,112.0,10.34,0.0,7.0,12.0,17.0,0.065,0.0,83.0,0.99,0.124,2.104,0.8,5.0,5.0,5.0,0.0,0.24,0.0,0.0,13.0,0.125,101.0,167.0,3.17,26.0,0.162,1.9,60.0,9.54,23.0,0.037,3.39,27.0,0.33,0.0,0.04,0.9,1.3,0.07,0.0,0.3,82.3,0.41
"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",-17.4868,26,65,40.0,-17.4868,,,0.045,0.045,0.17,0.515,0.02,0.27,0.43,0.08,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.033,0.02,0.0,1.0,109.0,12.13,0.0,11.0,8.0,17.1,0.075,0.0,76.0,0.455,0.089,1.177,0.7,2.0,2.0,2.0,0.0,0.24,0.0,0.0,14.0,0.164,102.0,169.0,2.99,63.0,0.183,3.4,66.0,9.55,22.0,0.045,1.9,64.0,0.33,0.0,0.024,0.0,1.2,0.04,0.0,0.2,82.17,0.39
"Milk, chocolate, lowfat, with added vitamin A and vitamin D",-14.7365,26,65,40.0,-14.7365,-19.7385,,0.022,0.025,0.09,0.268,0.015,0.12,0.248,0.039,0.006,0.0,0.003,0.002,0.001,0.0,0.001,0.0,0.019,0.013,0.008,0.0,1.0,129.0,10.15,0.0,2.0,5.0,17.0,0.028,0.0,64.0,0.3,0.049,0.616,0.1,3.0,3.0,3.0,0.0,0.23,0.0,0.0,13.0,0.124,96.0,172.0,3.46,51.0,0.247,1.9,65.0,9.94,12.0,0.031,1.11,52.0,0.23,0.0,0.047,0.4,1.1,0.0,0.0,0.1,84.5,0.43
"Milk, goat, fluid, with added vitamin D",-14.944,26,65,40.0,-14.944,,-15.3687,0.26,0.124,0.325,0.911,0.082,0.441,0.977,0.109,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,0.094,0.096,0.0,0.0,134.0,4.45,0.0,7.0,11.0,16.0,0.046,0.0,69.0,1.109,0.149,2.667,0.0,1.0,1.0,1.0,0.0,0.05,0.0,0.0,14.0,0.277,111.0,204.0,3.56,56.0,0.138,1.4,50.0,4.45,0.0,0.048,4.14,57.0,0.07,0.0,0.046,1.3,1.3,0.07,0.0,0.3,87.03,0.3
"Whey, sweet, dried",-23.0396,26,65,40.0,-23.0396,,-24.0175,0.018,0.012,0.104,0.326,0.033,0.097,0.251,0.025,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.009,0.01,0.0,0.0,796.0,74.46,0.0,2.0,6.0,225.0,0.07,0.0,353.0,0.297,0.034,0.684,0.0,12.0,12.0,12.0,0.0,0.88,0.0,0.0,176.0,1.258,932.0,2080.0,12.93,8.0,2.208,27.2,1079.0,74.46,0.0,0.519,1.07,8.0,2.37,0.0,0.584,1.5,0.0,0.02,0.0,0.1,3.19,1.97
"Yogurt, plain, whole milk",-7.391,26,65,40.0,-7.391,-10.3127,-6.8961,0.093,0.115,0.382,1.07,0.071,0.372,0.766,0.082,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.066,0.042,0.0,0.0,127.0,5.57,0.0,0.0,14.0,15.2,0.003,0.0,78.0,0.874,0.092,2.32,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,11.0,0.135,101.0,164.0,3.82,48.0,0.243,2.2,42.0,4.09,0.0,0.055,4.48,48.0,0.37,0.0,0.045,0.5,0.8,0.06,0.0,0.2,85.27,0.43
"Yogurt, plain, low fat",-1.4973,26,65,40.0,-1.4973,-1.5406,-1.4367,0.044,0.053,0.163,0.422,0.034,0.151,0.354,0.031,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.032,0.02,0.0,0.0,183.0,7.04,0.0,2.0,6.0,15.2,0.013,0.0,63.0,0.426,0.044,1.0,0.0,11.0,11.0,11.0,0.0,0.08,0.0,0.0,17.0,0.114,144.0,234.0,5.25,14.0,0.214,3.3,70.0,7.04,0.0,0.044,1.55,14.0,0.56,0.0,0.049,0.8,0.0,0.03,0.0,0.2,85.07,0.89
"Eggs, Grade A, Large, egg whole",-10.4655,26,65,40.0,-10.4655,,,0.0,0.0,0.032,2.32,0.238,0.813,3.35,1.46,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.96,0.0,0.0,411.0,335.0,0.0,13.0,143.0,3.63,1.82,3.2,0.0,71.0,71.0,71.0,0.0,1.67,503.0,0.0,11.0,0.0,184.0,132.0,12.4,179.0,0.419,31.1,129.0,0.2,0.0,0.077,9.96,180.0,1.02,0.0,0.063,0.0,2.5,1.05,0.0,0.3,75.8,1.24
"Eggs, Grade A, Large, egg white",1.0188,26,65,40.0,1.0188,1.0022,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.36,0.0,0.0,0.0,1.1,0.023,0.0,52.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.08,0.0,0.0,11.0,0.105,15.0,163.0,10.7,0.0,0.391,17.9,166.0,0.71,0.0,0.004,0.0,0.0,0.09,0.0,0.005,0.0,0.0,0.0,0.0,0.0,86.3,0.03
"Eggs, Grade A, Large, egg yolk",18.1614,26,65,40.0,18.1614,,19.8373,0.009,0.009,0.104,6.86,0.918,2.417,10.701,3.538,0.103,0.0,0.086,0.438,0.011,0.009,0.0,0.114,0.0,0.0,0.009,0.0,0.0,129.0,1.02,38.0,88.0,1085.0,820.2,0.077,33.0,328.0,11.738,4.204,9.551,0.0,146.0,146.0,146.0,0.0,2.73,1094.0,2.0,5.0,0.024,390.0,109.0,16.2,371.0,0.467,55.8,48.0,0.56,0.0,0.176,28.8,381.0,1.95,0.0,0.35,0.0,5.4,5.64,0.0,0.7,52.1,2.3
"Egg, whole, cooked, hard-boiled",1.0048,26,65,40.0,1.0048,1.0032,0.9967,0.003,0.003,0.035,2.349,0.31,0.828,3.725,1.188,0.035,0.0,0.03,0.149,0.005,0.003,0.0,0.038,0.0,0.0,0.003,0.0,0.0,50.0,1.12,0.0,11.0,373.0,293.8,0.013,10.0,155.0,4.077,1.414,3.267,0.0,44.0,44.0,44.0,0.0,1.19,353.0,0.0,10.0,0.064,172.0,126.0,12.58,148.0,0.513,30.8,124.0,1.12,0.0,0.066,10.61,149.0,1.11,0.0,0.121,0.0,2.2,1.03,0.0,0.3,74.62,1.05
"Egg, whole, dried",121.8171,26,65,40.0,121.8171,111.8517,128.7605,0.0,0.0,0.144,10.811,0.877,3.974,15.729,7.049,0.247,0.0,0.098,0.711,0.0,0.0,0.024,0.199,0.0,0.0,0.0,0.0,0.0,220.0,1.87,0.0,0.0,1700.0,1266.7,0.0,36.0,558.0,16.726,8.314,15.069,0.0,119.0,119.0,119.0,0.0,6.97,835.0,0.0,45.0,0.34,770.0,468.0,48.1,300.0,1.977,164.7,485.0,0.56,0.0,0.183,39.8,301.0,2.96,0.0,0.499,0.0,9.7,3.88,0.0,1.2,4.07,5.02
"Egg, duck, whole, fresh, raw",41.7241,26,65,40.0,41.7241,,40.6991,0.0,0.0,0.054,2.996,0.441,0.632,6.084,0.558,0.102,0.0,0.0,0.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.45,0.0,14.0,884.0,263.4,0.062,12.0,185.0,6.525,1.223,3.681,0.0,80.0,80.0,80.0,0.0,3.85,459.0,0.0,17.0,0.2,220.0,222.0,12.81,192.0,0.404,36.4,146.0,0.93,0.0,0.156,13.77,194.0,5.4,0.0,0.25,0.0,1.7,1.34,0.0,0.4,70.83,1.41
"Egg, goose, whole, fresh, raw",41.105,26,65,40.0,41.105,,,0.0,0.0,0.05,2.849,0.394,0.696,5.353,0.68,0.554,0.0,0.0,0.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1.35,0.0,13.0,852.0,263.4,0.062,12.0,185.0,5.747,1.672,3.595,0.0,76.0,76.0,76.0,0.0,3.64,442.0,0.0,16.0,0.189,208.0,210.0,13.87,185.0,0.382,36.9,138.0,0.94,0.0,0.147,13.27,187.0,5.1,0.0,0.236,0.0,1.7,1.29,0.0,0.4,70.43,1.33
"Egg, quail, whole, fresh, raw",49.363,26,65,40.0,49.363,51.1868,52.7212,0.0,0.0,0.053,2.666,0.473,0.838,3.851,0.94,0.044,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.41,0.0,11.0,844.0,263.4,0.062,10.0,158.0,4.324,1.324,3.557,0.0,66.0,66.0,66.0,0.0,3.65,369.0,0.0,13.0,0.15,226.0,132.0,13.05,155.0,0.79,32.0,141.0,0.4,0.0,0.13,11.09,156.0,1.58,0.0,0.15,0.0,1.4,1.08,0.0,0.3,74.35,1.47
"Butter, stick, unsalted",-105.1063,26,65,40.0,-105.1063,-142.3388,,1.92,2.2,7.15,21.2,0.999,7.42,15.0,2.25,0.331,0.015,0.117,0.104,0.024,0.004,0.039,0.002,2.04,1.44,0.84,0.0,0.0,21.0,0.06,2.0,168.0,235.0,18.8,0.006,8.0,743.0,16.9,2.52,45.6,0.0,5.0,5.0,5.0,0.0,0.06,0.0,0.0,2.0,0.0,22.0,23.0,0.85,744.0,0.0,0.0,10.0,0.58,0.0,0.005,82.2,758.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,7.0,15.8,0.07
"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",0.2994,26,65,40.0,0.2994,0.3865,0.3018,0.004,0.003,0.017,0.053,0.007,0.019,0.038,0.005,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.001,0.002,0.0,0.0,122.0,4.86,0.0,7.0,2.0,15.6,0.013,0.0,35.0,0.047,0.007,0.117,0.0,5.0,5.0,5.0,0.0,0.03,0.0,0.0,11.0,0.094,101.0,156.0,3.37,1.0,0.182,3.1,42.0,5.09,0.0,0.045,0.18,2.0,0.5,0.0,0.037,0.0,0.0,0.01,0.0,0.0,90.84,0.42
"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",-255.8834,26,65,40.0,-255.8834,-315.9473,-244.5146,0.018,0.014,0.083,0.235,0.022,0.085,0.167,0.019,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.006,0.007,0.0,0.0,1257.0,51.98,0.0,1.0,20.0,169.2,0.041,0.0,362.0,0.2,0.03,0.499,0.0,50.0,50.0,50.0,0.0,0.32,0.0,0.0,110.0,0.951,968.0,1794.0,36.16,653.0,1.55,27.3,535.0,51.98,0.0,0.415,0.77,653.0,4.03,0.0,0.361,6.8,11.0,0.0,0.0,0.1,3.16,4.08
"Cheese, goat, semisoft type",-87.8692,26,65,40.0,-87.8692,,-80.4051,2.879,1.318,3.026,7.809,0.709,2.648,6.099,0.709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.496,0.656,0.806,0.0,0.0,298.0,0.12,0.0,77.0,79.0,15.4,0.564,0.0,364.0,6.808,0.709,20.639,0.0,2.0,2.0,2.0,0.0,1.62,0.0,0.0,29.0,1.148,375.0,158.0,21.58,401.0,0.676,3.8,415.0,0.12,0.0,0.072,29.84,407.0,0.22,0.0,0.06,0.0,0.5,0.26,0.0,2.5,45.52,0.66
"Cheese sauce, prepared from recipe",2.3462,26,65,40.0,2.3462,,,0.23,0.215,1.231,3.952,0.358,1.712,4.375,1.213,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385,0.199,0.106,0.0,0.0,311.0,5.48,0.0,26.0,38.0,5.1,0.019,0.0,197.0,4.735,1.397,8.034,0.1,11.0,8.0,10.0,2.0,0.35,0.0,0.0,19.0,0.204,229.0,142.0,10.33,80.0,0.243,6.6,493.0,0.19,0.0,0.044,14.92,82.0,0.35,0.0,0.045,0.6,1.0,0.09,0.0,0.9,66.86,1.26
"Cheese, mexican, queso anejo",52.1224,26,65,40.0,52.1224,62.0394,,0.557,0.508,3.153,9.34,0.957,3.838,7.571,0.552,0.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.907,0.474,0.256,0.0,0.0,680.0,4.63,0.0,4.0,105.0,15.4,0.008,0.0,373.0,8.528,0.901,19.033,0.0,1.0,1.0,1.0,0.0,0.47,0.0,0.0,28.0,0.032,444.0,87.0,21.44,64.0,0.209,14.5,1131.0,4.63,0.0,0.02,29.98,64.0,1.38,0.0,0.047,0.0,0.5,0.26,0.0,2.5,38.06,2.94
"Cheese, low-sodium, cheddar or colby",-22.6745,26,65,40.0,-22.6745,-30.3847,,0.619,0.558,3.435,10.111,1.036,4.133,8.153,0.595,0.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.079,0.546,0.288,0.0,0.0,703.0,1.91,0.0,84.0,100.0,15.4,0.036,0.0,398.0,9.189,0.972,20.768,0.0,18.0,18.0,18.0,0.0,0.72,0.0,0.0,27.0,0.086,484.0,112.0,24.35,257.0,0.375,14.5,21.0,0.49,0.0,0.021,32.62,264.0,0.83,0.0,0.076,0.0,0.6,0.28,0.0,2.7,38.98,3.09
"Sour cream, light",-7.7271,26,65,40.0,-7.7271,-7.6346,-7.4392,0.26,0.3,1.06,2.78,0.24,1.28,2.66,0.24,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.2,0.11,0.0,0.0,141.0,7.1,0.0,21.0,35.0,19.2,0.016,0.0,136.0,3.1,0.4,6.6,0.0,11.0,11.0,11.0,0.0,0.07,0.0,0.0,10.0,0.07,71.0,212.0,3.5,88.0,0.12,3.1,83.0,0.22,0.0,0.04,10.6,90.0,0.42,0.0,0.02,0.9,0.2,0.3,0.0,0.5,78.1,0.5
"Sour cream, fat free",-19.4056,26,65,40.0,-19.4056,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,15.6,0.0,9.0,9.0,19.2,0.016,0.0,74.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,10.0,0.07,95.0,129.0,3.1,72.0,0.15,5.3,141.0,0.39,0.0,0.04,0.0,73.0,0.3,0.0,0.02,0.0,0.0,0.0,0.0,0.0,80.6,0.5
"Parmesan cheese topping, fat free",31.6433,26,65,40.0,31.6433,40.4469,,0.126,0.14,0.502,1.303,0.112,0.606,1.256,0.113,0.073,0.0,0.076,0.0,0.0,0.0,0.0,0.0,0.162,0.096,0.056,0.0,0.0,800.0,40.0,0.0,13.0,20.0,15.4,0.02,0.0,370.0,1.446,0.186,3.11,0.0,25.0,25.0,25.0,0.0,5.0,0.0,0.0,40.0,0.2,700.0,600.0,40.0,39.0,0.05,43.3,1150.0,1.5,0.0,0.05,5.0,40.0,1.1,0.0,0.1,0.0,0.0,0.04,0.0,0.4,8.6,3.0
"Cheese, cream, fat free",5.3401,26,65,40.0,5.3401,,5.8185,0.035,0.025,0.083,0.242,0.011,0.115,0.233,0.042,0.006,0.0,0.0,0.002,0.0,0.0,0.001,0.0,0.056,0.029,0.041,0.0,0.0,351.0,7.66,0.0,11.0,12.0,65.2,0.036,0.0,105.0,0.25,0.057,0.644,0.0,35.0,35.0,35.0,0.0,0.19,0.0,0.0,22.0,0.23,523.0,278.0,15.69,10.0,0.265,4.9,702.0,5.48,0.0,0.04,1.0,11.0,0.95,0.0,0.05,0.0,0.0,0.02,0.0,0.2,71.87,1.5
"Cream, half and half, fat free",-0.8908,26,65,40.0,-0.8908,,,0.035,0.039,0.141,0.368,0.031,0.17,0.352,0.032,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.027,0.016,0.0,0.0,96.0,9.0,0.0,3.0,5.0,15.0,0.016,0.0,59.0,0.384,0.052,0.841,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,16.0,0.124,151.0,206.0,2.6,12.0,0.237,2.9,100.0,5.0,0.0,0.056,1.4,12.0,0.52,0.0,0.062,0.7,0.0,0.04,0.0,0.2,86.0,0.81
"Cream substitute, flavored, liquid",40.6469,26,65,40.0,40.6469,44.2685,42.8032,0.0,0.0,0.04,1.955,0.026,0.636,3.976,5.905,0.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,35.07,0.0,0.0,0.0,0.5,0.142,0.0,251.0,4.002,6.269,2.635,1.1,1.0,1.0,1.0,0.0,0.59,1.0,0.0,19.0,0.091,28.0,96.0,0.69,0.0,0.024,0.7,67.0,33.04,100.0,0.004,13.5,0.0,0.0,0.0,0.004,0.0,0.0,1.58,0.0,3.3,50.06,0.25
"Cream substitute, flavored, powdered",98.1385,26,65,40.0,98.1385,97.9793,88.7406,0.903,7.518,3.025,2.373,0.0,4.742,0.618,0.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.903,0.0,3.0,5.0,75.42,0.0,0.0,0.0,0.5,0.135,0.0,482.0,0.618,0.229,19.446,1.2,1.0,1.0,1.0,0.0,0.63,1.0,0.0,17.0,0.084,28.0,90.0,0.68,0.0,0.027,1.3,123.0,58.01,92.0,0.004,21.47,0.0,0.0,0.0,0.004,0.0,0.0,0.41,0.0,9.1,1.52,0.23
"Cheese, provolone, reduced fat",-8.5417,26,65,40.0,-8.5417,-10.085,,0.32,0.23,1.82,5.4,0.58,2.02,4.08,0.33,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.24,0.17,0.0,0.0,756.0,3.5,0.0,45.0,55.0,12.9,0.026,0.0,274.0,4.89,0.51,11.3,0.0,10.0,10.0,10.0,0.0,0.52,0.0,0.0,28.0,0.156,496.0,138.0,24.7,137.0,0.321,14.5,615.0,0.55,0.0,0.019,17.6,141.0,1.46,0.0,0.073,0.0,0.3,0.15,0.0,1.5,50.6,3.23
"Cheese, Mexican, blend, reduced fat",-15.337,26,65,40.0,-15.337,-19.0998,-15.2821,0.52,0.56,1.88,5.02,0.3,2.24,4.47,0.57,0.13,0.0,0.04,0.03,0.0,0.0,0.0,0.0,0.72,0.42,0.24,0.0,0.0,1146.0,3.41,0.0,50.0,62.0,13.5,0.021,0.0,282.0,5.02,0.75,11.58,0.0,20.0,20.0,20.0,0.0,0.13,0.0,0.0,35.0,0.06,583.0,93.0,24.69,151.0,0.3,15.5,776.0,0.56,0.0,0.03,19.4,155.0,1.66,0.0,0.084,0.0,0.4,0.17,0.0,1.6,48.2,4.3
"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",-9.982,26,65,40.0,-9.982,,-9.7447,0.075,0.077,0.297,0.829,0.0,0.365,0.812,0.12,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.075,0.075,0.0,0.0,113.0,4.78,0.0,7.0,10.0,14.3,0.025,0.0,61.0,0.812,0.195,1.865,0.0,5.0,5.0,5.0,0.0,0.03,0.0,0.0,10.0,0.089,84.0,132.0,3.15,45.0,0.169,3.7,43.0,5.05,0.0,0.046,3.27,46.0,0.45,0.0,0.036,0.0,0.1,0.07,0.0,0.3,88.13,0.37
"Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D",-64.0863,26,65,40.0,-64.0863,,-58.7444,0.34,0.42,1.45,3.93,0.37,1.61,3.47,0.27,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.27,0.21,0.0,0.0,529.0,10.6,0.0,80.0,53.0,36.2,0.03,0.0,240.0,4.13,0.41,8.85,0.0,18.0,18.0,18.0,0.0,0.2,0.0,0.0,33.0,0.18,829.0,330.0,17.6,243.0,0.48,12.4,1201.0,8.02,0.0,0.07,14.1,250.0,1.11,0.0,0.08,0.0,5.3,0.27,0.0,2.6,51.8,2.36
"Protein supplement, milk based, Muscle Milk, powder",-385.1953,26,65,40.0,-385.1953,-476.2088,-356.1816,0.0,0.0,0.0,0.621,0.0,0.932,11.64,1.709,0.061,0.0,0.309,0.0,0.0,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,18.5,0.0,0.0,21.0,81.6,1.0,0.0,411.0,12.105,1.77,1.553,7.1,340.0,0.0,200.0,200.0,8.57,0.0,0.0,200.0,10.0,643.0,1129.0,45.71,750.0,0.857,33.8,329.0,5.71,0.0,0.714,17.14,750.0,3.0,3.0,1.0,30.0,5.0,7.07,7.07,0.5,15.0,7.14
"Protein supplement, milk based, Muscle Milk Light, powder",-149.1962,26,65,40.0,-149.1962,,,0.0,0.0,0.0,0.435,0.0,0.653,8.148,1.196,0.043,0.0,0.217,0.0,0.0,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,22.0,0.0,0.0,10.0,81.6,1.4,0.0,396.0,8.474,1.239,1.087,2.0,476.0,0.0,280.0,280.0,12.0,0.0,0.0,280.0,14.0,700.0,840.0,50.0,1050.0,1.2,33.8,250.0,4.0,0.0,1.0,12.0,1050.0,4.2,4.2,1.4,42.0,7.0,9.45,9.45,0.5,12.0,10.0
